iter	Passed	Remaining
656	824	430
657	825	428
658	825	427
659	826	425
660	827	424
661	828	422
662	829	421
663	829	419
664	830	418
665	831	417
666	832	415
667	833	414
668	833	412
669	834	411
670	835	409
671	836	408
672	837	406
673	838	405
674	839	404
675	840	402
676	840	401
677	841	399
678	842	398
679	843	396
680	844	395
681	845	394
682	845	392
683	846	391
684	847	389
685	848	388
686	849	386
687	849	385
688	850	384
689	851	382
690	852	381
691	853	379
692	854	378
693	855	377
694	856	375
695	856	374
696	857	372
697	858	371
698	859	369
699	860	368
700	860	367
701	861	365
702	862	364
703	863	362
704	864	361
705	864	360
706	865	358
707	866	357
708	866	355
709	867	354
710	868	353
711	869	351
712	870	350
713	871	349
714	872	347
715	873	346
716	873	344
717	874	343
718	875	342
719	876	340
720	877	339
721	877	337
722	878	336
723	879	335
724	880	333
725	881	332
726	882	331
727	882	329
728	883	328
729	884	327
730	885	325
731	886	324
732	887	323
733	888	322
734	889	320
735	890	319
736	891	318
737	892	316
738	892	315
739	893	313
740	894	312
741	894	311
742	895	309
743	896	308
744	897	307
745	897	305
746	898	304
747	899	303
748	900	301
749	901	300
750	902	299
751	904	298
752	905	296
753	905	295
754	906	294
755	907	292
756	908	291
757	909	290
758	910	289
759	911	287
760	912	286
761	913	285
762	915	284
763	916	283
764	917	281
765	918	280
766	919	279
767	920	277
768	920	276
769	921	275
770	922	274
771	923	272
772	924	271
773	925	270
774	926	269
775	927	267
776	928	266
777	928	265
778	930	263
779	931	262
780	932	261
781	932	260
782	933	258
783	934	257
784	935	256
785	936	254
786	936	253
787	937	252
788	938	250
789	939	249
790	939	248
791	940	247
792	941	245
793	942	244
794	943	243
795	944	241
796	945	240
797	946	239
798	947	238
799	948	237
800	949	235
801	950	234
802	951	233
803	951	232
804	952	230
805	953	229
806	954	228
807	954	226
808	955	225
809	956	224
810	957	223
811	958	221
812	959	220
813	959	219
814	960	218
815	961	216
816	963	215
817	963	214
818	964	213
819	965	211
820	966	210
821	967	209
822	967	208
823	968	206
824	969	205
825	970	204
826	970	203
827	971	201
828	972	200
829	973	199
830	974	198
831	974	196
832	975	195
833	976	194
834	977	193
835	978	192
836	979	190
837	980	189
838	981	188
839	982	187
840	983	185
841	984	184
842	985	183
843	986	182
844	986	181
845	987	179
846	988	178
847	989	177
848	990	176
849	991	174
850	992	173
851	993	172
852	994	171
853	994	170
854	995	168
855	996	167
856	997	166
857	998	165
858	998	163
859	999	162
860	1000	161
861	1001	160
862	1002	159
863	1002	157
864	1003	156
865	1004	155
866	1005	154
867	1006	152
868	1007	151
869	1008	150
870	1009	149
871	1010	148
872	1010	147
873	1011	145
874	1012	144
875	1013	143
876	1013	142
877	1014	141
878	1015	139
879	1016	138
880	1017	137
881	1017	136
882	1018	134
883	1019	133
884	1019	132
885	1020	131
886	1021	130
887	1022	129
888	1024	127
889	1025	126
890	1026	125
891	1027	124
892	1028	123
893	1029	122
894	1030	120
895	1031	119
896	1032	118
897	1033	117
898	1034	116
899	1035	115
900	1037	113
901	1038	112
902	1039	111
903	1041	110
904	1042	109
905	1043	108
906	1044	107
907	1045	105
908	1046	104
909	1048	103
910	1049	102
911	1050	101
912	1051	100
913	1053	99
914	1054	97
915	1055	96
916	1056	95
917	1057	94
918	1059	93
919	1060	92
920	1061	91
921	1062	89
922	1063	88
923	1064	87
924	1064	86
925	1065	85
926	1066	84
927	1067	82
928	1069	81
929	1070	80
930	1071	79
931	1072	78
932	1073	77
933	1074	75
934	1075	74
935	1076	73
936	1077	72
937	1078	71
938	1079	70
939	1080	68
940	1081	67
941	1083	66
942	1084	65
943	1085	64
944	1086	63
945	1087	62
946	1088	60
947	1089	59
948	1090	58
949	1091	57
950	1092	56
951	1093	55
952	1094	53
953	1094	52
954	1095	51
955	1096	50
956	1097	49
957	1098	48
958	1099	47
959	1100	45
960	1101	44
961	1102	43
962	1103	42
963	1103	41
964	1104	40
965	1106	38
966	1107	37
967	1107	36
968	1108	35
969	1109	34
970	1110	33
971	1111	32
972	1112	30
973	1113	29
974	1114	28
975	1115	27
976	1116	26
977	1117	25
978	1118	23
979	1119	22
980	1120	21
981	1121	20
982	1121	19
983	1122	18
984	1123	17
985	1124	15
986	1125	14
987	1125	13
988	1126	12
989	1127	11
990	1128	10
991	1130	9
992	1131	7
993	1132	6
994	1133	5
995	1134	4
996	1135	3
997	1136	2
998	1137	1
999	1138	0
